market,symbol,yahoo_ticker,enabled,sector,notes
BEI,TKIM,TKIM.JK,true,Pulp & Paper,BEI 100-stock research universe; Yahoo delayed mapping
BEI,SCMA,SCMA.JK,true,Media,BEI 100-stock research universe; Yahoo delayed mapping
BEI,MNCN,MNCN.JK,true,Media,BEI 100-stock research universe; Yahoo delayed mapping
BEI,FILM,FILM.JK,true,Media,BEI 100-stock research universe; Yahoo delayed mapping
BEI,DCII,DCII.JK,true,Technology,BEI 100-stock research universe; Yahoo delayed mapping
BEI,MTDL,MTDL.JK,true,Technology,BEI 100-stock research universe; Yahoo delayed mapping
BEI,PGEO,PGEO.JK,true,Renewable Energy,BEI 100-stock research universe; Yahoo delayed mapping
BEI,KEEN,KEEN.JK,true,Renewable Energy,BEI 100-stock research universe; Yahoo delayed mapping
BEI,SRTG,SRTG.JK,true,Investment,BEI 100-stock research universe; Yahoo delayed mapping
BEI,BFIN,BFIN.JK,true,Finance,BEI 100-stock research universe; Yahoo delayed mapping
BEI,ADMF,ADMF.JK,true,Finance,BEI 100-stock research universe; Yahoo delayed mapping
BEI,MFIN,MFIN.JK,true,Finance,BEI 100-stock research universe; Yahoo delayed mapping
BEI,AVIA,AVIA.JK,true,Materials,BEI 100-stock research universe; Yahoo delayed mapping
BEI,ARNA,ARNA.JK,true,Materials,BEI 100-stock research universe; Yahoo delayed mapping
BEI,MARK,MARK.JK,true,Materials,BEI 100-stock research universe; Yahoo delayed mapping
ADX,ALDAR,ALDAR.AD,false,Property,Enable only after ticker is verified
ADX,FAB,FAB.AD,false,Banks,Enable only after ticker is verified
ADX,ADNOCGAS,ADNOCGAS.AD,false,Energy,Enable only after ticker is verified
ADX,ADNOCDRILL,ADNOCDRILL.AD,false,Energy,Enable only after ticker is verified
ADX,EAND,EAND.AD,false,Utilities,Enable only after ticker is verified
